iter	Passed	Remaining
420	2229	3066
421	2234	3059
422	2241	3056
423	2246	3051
424	2251	3045
425	2257	3041
426	2261	3035
427	2266	3028
428	2272	3024
429	2276	3017
430	2280	3011
431	2286	3006
432	2291	3000
433	2296	2994
434	2302	2990
435	2307	2984
436	2311	2977
437	2315	2970
438	2321	2967
439	2327	2961
440	2331	2955
441	2337	2950
442	2342	2944
443	2346	2938
444	2352	2934
445	2357	2927
446	2361	2921
447	2368	2917
448	2372	2911
449	2377	2905
450	2382	2900
451	2386	2893
452	2391	2887
453	2396	2881
454	2400	2875
455	2405	2869
456	2409	2863
457	2414	2857
458	2419	2851
459	2423	2845
460	2428	2839
461	2433	2833
462	2437	2827
463	2442	2821
464	2447	2815
465	2451	2809
466	2455	2802
467	2460	2797
468	2465	2790
469	2469	2784
470	2473	2777
471	2478	2772
472	2482	2766
473	2487	2760
474	2491	2753
475	2496	2747
476	2500	2741
477	2505	2735
478	2510	2730
479	2515	2725
480	2519	2718
481	2524	2713
482	2530	2708
483	2535	2702
484	2539	2696
485	2545	2691
486	2549	2685
487	2553	2679
488	2560	2675
489	2565	2669
490	2569	2663
491	2575	2659
492	2580	2653
493	2585	2647
494	2591	2643
495	2596	2638
496	2600	2632
497	2606	2627
498	2611	2622
499	2616	2616
500	2621	2611
501	2626	2606
502	2631	2599
503	2635	2594
504	2641	2589
505	2646	2583
506	2650	2577
507	2656	2572
508	2660	2566
509	2665	2560
510	2670	2555
511	2675	2550
512	2680	2544
513	2685	2538
514	2690	2533
515	2694	2527
516	2699	2521
517	2705	2517
518	2710	2511
519	2714	2505
520	2720	2500
521	2725	2495
522	2729	2489
523	2735	2484
524	2739	2478
525	2743	2472
526	2747	2466
527	2753	2461
528	2758	2455
529	2762	2449
530	2768	2445
531	2772	2439
532	2777	2433
533	2781	2427
534	2786	2422
535	2791	2416
536	2795	2410
537	2801	2405
538	2805	2399
539	2809	2393
540	2815	2388
541	2820	2383
542	2825	2377
543	2830	2373
544	2835	2367
545	2840	2361
546	2845	2356
547	2849	2350
548	2854	2344
549	2858	2339
550	2864	2333
551	2868	2328
552	2873	2322
553	2877	2316
554	2882	2310
555	2886	2305
556	2891	2299
557	2896	2294
558	2901	2289
559	2907	2284
560	2914	2280
561	2918	2274
562	2923	2269
563	2928	2264
564	2933	2258
565	2938	2252
566	2943	2247
567	2948	2242
568	2952	2236
569	2957	2231
570	2962	2226
571	2967	2220
572	2971	2214
573	2977	2209
574	2981	2204
575	2986	2198
576	2992	2193
577	2996	2188
578	3001	2182
579	3006	2177
580	3012	2172
581	3016	2166
582	3021	2161
583	3027	2156
584	3031	2150
585	3036	2145
586	3043	2141
587	3047	2135
588	3052	2129
589	3058	2125
590	3063	2119
591	3067	2113
592	3073	2109
593	3077	2103
594	3082	2098
595	3089	2093
596	3093	2088
597	3097	2082
598	3103	2077
599	3109	2072
600	3113	2066
601	3118	2061
602	3123	2056
603	3128	2050
604	3132	2045
605	3138	2040
606	3142	2034
607	3146	2028
608	3152	2023
609	3157	2018
610	3161	2012
611	3165	2006
612	3170	2001
613	3175	1996
614	3179	1990
615	3184	1985
616	3188	1979
617	3193	1973
618	3198	1968
619	3203	1963
620	3207	1957
621	3211	1951
622	3216	1946
623	3221	1940
624	3225	1935
625	3230	1929
626	3235	1924
627	3239	1919
628	3244	1913
629	3248	1908
630	3253	1902
631	3258	1897
632	3264	1892
633	3268	1887
634	3273	1881
635	3278	1876
636	3282	1870
637	3287	1865
638	3291	1859
639	3297	1854
640	3302	1849
641	3306	1844
642	3312	1839
643	3317	1834
644	3322	1828
645	3327	1823
646	3332	1818
647	3337	1813
648	3342	1807
649	3348	1802
650	3352	1797
651	3356	1791
652	3362	1786
653	3367	1781
654	3371	1776
655	3377	1771
656	3382	1765
657	3386	1760
658	3392	1755
659	3398	1750
660	3402	1745
661	3409	1740
662	3414	1735
663	3418	1730
664	3426	1725
665	3431	1720
666	3435	1715
667	3441	1710
668	3445	1704
669	3450	1699
670	3456	1694
671	3460	1689
672	3465	1683
673	3472	1679
674	3477	1674
675	3483	1669
676	3489	1664
677	3494	1659
678	3499	1654
679	3505	1649
680	3509	1644
681	3514	1638
682	3519	1633
683	3524	1628
684	3529	1623
685	3534	1617
686	3539	1612
687	3543	1607
688	3548	1601
689	3553	1596
690	3558	1591
691	3562	1585
692	3567	1580
693	3571	1574
694	3576	1569
695	3580	1563
696	3585	1558
697	3590	1553
698	3594	1547
699	3598	1542
700	3603	1537
701	3608	1531
702	3612	1526
703	3617	1521
704	3622	1515
705	3626	1510
706	3631	1504
707	3636	1499
708	3640	1494
709	3645	1488
710	3650	1483
711	3654	1478
712	3659	1473
713	3664	1467
714	3668	1462
715	3673	1457
716	3677	1451
717	3682	1446
718	3686	1440
719	3690	1435
720	3695	1430
721	3699	1424
722	3703	1419
723	3707	1413
724	3712	1408
725	3717	1403
726	3722	1397
727	3726	1392
728	3731	1387
729	3735	1381
730	3739	1376
731	3744	1370
732	3748	1365
733	3753	1360
734	3757	1354
735	3762	1349
736	3767	1344
737	3771	1339
738	3776	1333
739	3781	1328
740	3786	1323
741	3791	1318
742	3796	1313
743	3800	1307
744	3805	1302
745	3810	1297
746	3815	1292
747	3819	1286
748	3824	1281
749	3829	1276
750	3833	1271
751	3838	1265
752	3842	1260
753	3847	1255
754	3851	1249
755	3856	1244
756	3860	1239
757	3864	1233
758	3869	1228
759	3874	1223
760	3879	1218
761	3884	1213
762	3888	1207
763	3893	1202
764	3897	1197
765	3902	1192
766	3906	1186
767	3911	1181
768	3915	1176
769	3920	1171
770	3924	1165
771	3929	1160
772	3933	1155
773	3938	1150
774	3942	1144
775	3947	1139
776	3951	1134
777	3956	1128
778	3960	1123
779	3964	1118
780	3969	1112
781	3974	1107
782	3979	1102
783	3984	1097
784	3988	1092
785	3993	1087
786	3998	1082
787	4003	1077
788	4009	1072
789	4016	1067
790	4021	1062
791	4027	1057
792	4032	1052
793	4038	1047
794	4043	1042
795	4048	1037
796	4053	1032
797	4057	1027
798	4063	1022
799	4068	1017
800	4072	1011
801	4077	1006
802	4082	1001
803	4086	996
804	4091	991
805	4095	985
806	4100	980
807	4104	975
808	4110	970
809	4115	965
810	4120	960
811	4125	955
812	4130	950
813	4135	944
814	4139	939
815	4144	934
816	4149	929
817	4153	924
818	4158	918
819	4163	913
820	4168	908
821	4172	903
822	4178	898
823	4183	893
824	4188	888
825	4194	883
826	4198	878
827	4203	873
828	4208	868
829	4213	863
830	4218	857
831	4224	853
832	4229	847
833	4233	842
834	4237	837
835	4243	832
836	4247	827
837	4252	822
838	4256	816
839	4261	811
840	4266	806
841	4270	801
842	4275	796
