iter	RMSE
312	0.341480752
313	0.3414541198
314	0.3414502965
315	0.3414459113
316	0.3414302175
317	0.3414180907
318	0.3414068779
319	0.3413979501
320	0.3413902134
321	0.3413771987
322	0.3413677072
323	0.3413622949
324	0.3413459267
325	0.3413382187
326	0.3413249715
327	0.3413105338
328	0.3412977119
329	0.341286275
330	0.3412735749
331	0.3412623797
332	0.3412592048
333	0.3412501111
334	0.3412443928
335	0.3412328555
336	0.3412224685
337	0.3412111812
338	0.3411975297
339	0.3411796166
340	0.3411641913
341	0.3411477049
342	0.3411368542
343	0.341122443
344	0.3411185732
345	0.3411088498
346	0.3410891259
347	0.3410774808
348	0.3410623278
349	0.3410480845
350	0.3410376699
351	0.3410266457
352	0.3410082116
353	0.3409996574
354	0.3409944749
355	0.3409842932
356	0.3409664076
357	0.3409629792
358	0.3409514044
359	0.3409472391
360	0.3409385021
361	0.3409242605
362	0.3409158408
363	0.3409074373
364	0.3408959602
365	0.3408833607
366	0.3408658291
367	0.3408513284
368	0.3408282619
369	0.3408203653
370	0.3408123737
371	0.3407996797
372	0.340789507
373	0.3407781363
374	0.3407654948
375	0.3407545734
376	0.3407448996
377	0.3407355457
378	0.3407275746
379	0.3407137489
380	0.3407100452
381	0.3406970387
382	0.3406866604
383	0.34067667
384	0.3406675261
385	0.340659118
386	0.3406472605
387	0.3406366073
388	0.3406247945
389	0.3406154261
390	0.3406073176
391	0.34060115
392	0.3405914584
393	0.3405810003
394	0.3405773545
395	0.3405727599
396	0.3405642266
397	0.3405598616
398	0.340552126
399	0.3405354675
400	0.3405270021
401	0.3405242882
402	0.3405161365
403	0.3405076525
404	0.3404970193
405	0.3404858054
406	0.3404833141
407	0.3404733079
408	0.3404708812
409	0.3404611358
410	0.3404524019
411	0.3404436296
412	0.3404353493
413	0.3404330778
414	0.3404257225
415	0.3404177343
416	0.3404116614
417	0.3404032477
418	0.3404008905
419	0.3403988362
420	0.3403900326
421	0.3403818836
422	0.3403724891
423	0.3403660893
424	0.3403559026
425	0.3403482866
426	0.3403391666
427	0.3403302557
428	0.3403193614
429	0.3403091679
430	0.3403033562
431	0.3402958181
432	0.3402901483
433	0.3402832344
434	0.3402758829
435	0.3402657187
436	0.3402615992
437	0.3402496398
438	0.3402387659
439	0.3402256064
440	0.340220041
441	0.3402104911
442	0.3402017239
443	0.3401951827
444	0.3401900103
445	0.3401823507
446	0.3401752684
447	0.3401660422
448	0.3401532321
449	0.3401469896
450	0.3401362969
451	0.3401257407
452	0.3401173145
453	0.340111023
454	0.3401085758
455	0.3400998126
456	0.3400894635
457	0.3400795326
458	0.34007241
459	0.3400665017
460	0.3400533279
461	0.3400434687
462	0.3400352259
463	0.3400240782
464	0.3400203954
465	0.3400144862
466	0.3400090597
467	0.3400010524
468	0.3399963641
469	0.3399912816
470	0.3399870739
471	0.3399790529
472	0.3399742231
473	0.3399652821
474	0.3399571736
475	0.3399508041
476	0.3399367414
477	0.339925795
478	0.3399193056
479	0.3399096119
480	0.339902355
481	0.3398942597
482	0.3398798821
483	0.3398752783
484	0.3398682748
485	0.3398568484
486	0.3398453818
487	0.3398390052
488	0.3398317947
489	0.3398239326
490	0.3398207525
491	0.3398179026
492	0.3398116897
493	0.3397992081
494	0.3397862615
495	0.3397779767
496	0.3397669675
497	0.3397615798
498	0.3397576879
499	0.3397477337
500	0.3397407502
501	0.3397376626
502	0.3397310675
503	0.3397239222
504	0.3397108208
505	0.3397010741
506	0.3396966666
507	0.3396912505
508	0.3396851544
509	0.3396833411
510	0.3396734105
511	0.3396637038
512	0.3396521263
513	0.3396445878
514	0.3396394366
515	0.3396312229
516	0.3396203253
517	0.3396173831
518	0.3396146255
519	0.3396123666
520	0.3396073656
521	0.3395953183
522	0.3395909754
523	0.3395841736
524	0.3395820968
525	0.3395766095
526	0.339571094
527	0.3395617734
528	0.3395559067
529	0.3395484434
530	0.3395407531
531	0.3395340823
532	0.3395261208
533	0.3395119752
534	0.3395106242
535	0.3395093635
536	0.3395004321
537	0.3394980293
538	0.3394938575
539	0.3394836405
540	0.3394819437
541	0.3394769762
542	0.3394732444
543	0.3394721683
544	0.3394646963
545	0.3394599005
546	0.3394537813
547	0.3394514104
548	0.3394492398
549	0.3394371692
550	0.3394321766
551	0.3394204057
552	0.3394167622
553	0.3394076047
554	0.3393975531
555	0.3393879658
556	0.3393839584
557	0.339381991
558	0.3393799181
559	0.3393751346
560	0.3393717585
561	0.3393702621
562	0.3393589098
563	0.3393500044
564	0.3393442833
565	0.3393383485
566	0.3393308505
567	0.3393219568
568	0.3393139593
569	0.3393065603
570	0.3392986136
571	0.3392947803
572	0.3392901492
573	0.3392825731
574	0.3392731011
575	0.3392712095
576	0.3392639506
577	0.3392599671
578	0.33925332
579	0.3392396647
580	0.3392325097
581	0.3392190471
582	0.3392181229
583	0.3392111664
584	0.3392055492
585	0.3391928791
586	0.3391911022
587	0.3391864833
588	0.339184631
589	0.3391803291
590	0.3391773892
591	0.3391719463
592	0.3391651162
593	0.3391604232
594	0.3391583735
595	0.3391560759
596	0.3391509393
597	0.3391434846
598	0.3391387543
599	0.3391254917
600	0.3391208526
601	0.339114069
602	0.3391087372
603	0.3390971995
604	0.3390903052
605	0.3390842294
606	0.339075287
607	0.3390706633
608	0.3390665752
609	0.3390552851
610	0.3390508534
611	0.339045832
612	0.3390431283
613	0.339039287
614	0.3390295966
615	0.3390250808
616	0.3390210368
617	0.3390146362
618	0.3390091453
619	0.3389985678
620	0.3389884098
621	0.3389858053
622	0.3389811802
623	0.3389712739
624	0.3389685534
625	0.338963076
626	0.3389599861
627	0.3389569909
628	0.338952862
629	0.3389510758
630	0.3389429375
631	0.3389372366
632	0.3389303911
633	0.3389265545
634	0.3389241788
635	0.3389172406
636	0.3389117261
637	0.3389054152
638	0.3389032569
639	0.3388981759
640	0.3388962243
641	0.3388868252
642	0.3388761384
643	0.3388711675
644	0.3388599274
645	0.3388577083
646	0.3388563795
647	0.3388487185
648	0.3388426734
649	0.3388330662
650	0.3388299773
651	0.3388291262
652	0.3388203019
653	0.3388141388
654	0.3388095276
655	0.338805572
656	0.3388011452
657	0.3387945666
658	0.3387921428
659	0.3387892098
660	0.3387827371
661	0.3387788515
662	0.3387727514
663	0.3387662771
664	0.3387612767
665	0.338756367
666	0.3387536973
667	0.3387485203
668	0.3387427756
669	0.338739849
670	0.3387332539
671	0.3387270572
672	0.3387242567
673	0.3387114369
674	0.3387078736
675	0.3387058394
676	0.338701517
677	0.3386980031
678	0.3386928467
679	0.338681275
680	0.3386740943
681	0.3386647417
682	0.338662076
683	0.3386587093
684	0.3386530358
685	0.3386393704
686	0.3386361035
687	0.3386295288
688	0.3386268672
689	0.3386237668
690	0.3386203487
691	0.3386147449
692	0.3386127766
693	0.3386110124
694	0.3386065658
695	0.3386043281
696	0.3386019193
697	0.3385936363
698	0.3385899212
699	0.3385877516
700	0.3385856001
701	0.3385828011
702	0.3385659582
703	0.3385608844
704	0.3385579687
705	0.338552046
706	0.3385487458
707	0.3385467497
708	0.3385425112
709	0.3385366369
710	0.3385348862
711	0.3385295352
712	0.3385269242
713	0.3385255829
714	0.3385206963
715	0.3385093687
716	0.3385058882
717	0.3385001476
718	0.3384943129
719	0.3384909451
720	0.3384856849
721	0.3384799614
722	0.3384788016
723	0.3384753368
724	0.3384719567
725	0.3384673308
726	0.3384650962
727	0.3384611157
728	0.3384557474
729	0.3384520694
730	0.3384500243
731	0.3384463269
732	0.3384438254
733	0.3384388316
734	0.3384301368
735	0.3384206708
736	0.3384157678
737	0.3384097518
738	0.3384025077
739	0.3383966075
740	0.3383875493
741	0.3383821266
742	0.338377088
743	0.3383723693
744	0.3383694155
745	0.3383556368
746	0.3383517816
747	0.3383419044
748	0.33833692
749	0.3383286228
750	0.3383238444
751	0.3383186487
752	0.3383148867
753	0.338309636
754	0.3383043152
755	0.338288845
756	0.3382833114
757	0.3382779818
758	0.3382751616
759	0.3382689839
760	0.3382612213
761	0.3382568117
762	0.3382467098
763	0.3382398723
764	0.3382329538
765	0.3382295808
766	0.3382273086
767	0.3382183089
768	0.3382145156
769	0.3382075598
770	0.3382042919
771	0.3381993815
772	0.3381920744
773	0.338187218
774	0.338182984
775	0.3381779573
776	0.3381720185
777	0.3381638151
778	0.3381612054
779	0.3381575662
780	0.3381547126
781	0.3381508795
782	0.3381436468
783	0.338135749
784	0.3381271655
785	0.3381185733
786	0.338115966
787	0.338110253
788	0.3381064448
789	0.33810129
790	0.3380966893
791	0.338093003
792	0.3380888494
793	0.3380850631
794	0.338081632
795	0.338080784
796	0.338070414
797	0.3380607275
798	0.3380595095
799	0.3380507684
800	0.33804787
801	0.3380452744
802	0.3380435888
803	0.3380379501
804	0.3380306681
805	0.3380272872
806	0.3380238041
807	0.3380215502
808	0.3380188281
809	0.3380162845
810	0.3380109238
811	0.3380072028
812	0.3380026064
813	0.3379975309
814	0.3379946198
815	0.3379903043
816	0.3379890833
817	0.3379839665
818	0.3379815394
819	0.3379769836
820	0.3379719036
821	0.3379682989
822	0.3379625874
823	0.3379578458
824	0.3379534811
825	0.337948539
826	0.3379456174
827	0.3379363678
828	0.3379264222
829	0.3379203599
830	0.3379136787
831	0.3379067569
832	0.3379012647
833	0.3378973611
834	0.3378930912
835	0.3378890779
836	0.3378836154
837	0.3378789383
838	0.3378752337
839	0.3378720051
840	0.3378690857
841	0.3378663763
842	0.3378627905
843	0.3378559458
844	0.3378534115
845	0.3378511177
846	0.3378492544
847	0.337844787
848	0.337834052
849	0.3378289505
850	0.3378233622
851	0.3378170259
852	0.3378127494
853	0.3378079416
854	0.3378055386
855	0.3378033465
856	0.337799626
857	0.3377914388
858	0.3377864634
859	0.3377829494
860	0.337776276
861	0.3377714354
862	0.3377677895
863	0.3377661078
864	0.3377609242
865	0.3377545294
866	0.3377497377
867	0.3377434754
868	0.3377404513
869	0.3377375571
870	0.3377290266
871	0.3377224516
872	0.3377217064
873	0.3377162566
874	0.33771153
875	0.3377074921
876	0.3377057585
877	0.3377011318
878	0.3376978165
879	0.3376934621
880	0.3376861368
881	0.3376803812
882	0.3376783046
883	0.3376733748
884	0.3376706031
885	0.3376676896
886	0.3376662853
887	0.3376649877
888	0.3376614465
889	0.3376526772
890	0.337646591
891	0.3376426085
892	0.337640255
893	0.3376351715
894	0.3376274421
895	0.33762347
896	0.3376185557
897	0.3376119613
898	0.3376106039
899	0.3376065545
900	0.3376031371
901	0.3375991243
902	0.3375908081
903	0.3375846091
904	0.3375815014
905	0.337573053
906	0.3375711315
907	0.3375677168
908	0.3375659934
909	0.3375628072
910	0.337556966
911	0.3375540832
912	0.3375504171
913	0.3375435851
914	0.33753789
915	0.3375316072
916	0.3375304128
917	0.3375266117
918	0.3375246027
919	0.3375207217
920	0.3375173019
921	0.3375122787
922	0.3375111569
923	0.3375050969
924	0.3375001362
925	0.3374921774
926	0.337488482
927	0.3374820052
928	0.3374776012
929	0.3374733041
930	0.3374706275
931	0.3374567989
932	0.3374537133
933	0.3374514803
934	0.3374452533
935	0.337441876
936	0.3374374525
937	0.3374318311
938	0.337426034
939	0.3374236169
940	0.3374206799
941	0.3374150891
942	0.3374134437
943	0.33740827
944	0.3374061293
945	0.3374039812
946	0.3374021037
947	0.3373964553
948	0.3373942903
949	0.337393251
950	0.3373882549
951	0.3373829615
952	0.3373797979
953	0.3373721877
954	0.3373630017
955	0.3373610949
956	0.337356943
957	0.3373521719
958	0.3373491597
959	0.3373434956
960	0.3373367866
961	0.3373339961
962	0.3373275201
963	0.3373232251
964	0.3373203237
965	0.3373164802
966	0.3373148548
967	0.3373060694
968	0.3373009831
969	0.3372946551
970	0.3372925868
971	0.3372847184
972	0.3372817387
973	0.3372739612
974	0.3372694005
975	0.3372664822
976	0.3372652347
977	0.3372627754
978	0.3372590873
979	0.3372551448
980	0.3372467534
981	0.3372372472
982	0.3372363105
983	0.3372348671
984	0.3372297139
985	0.3372257961
986	0.3372221231
987	0.3372202669
988	0.3372179802
989	0.3372112996
990	0.3372103532
991	0.3372026438
992	0.3371995403
993	0.3371985587
994	0.3371958752
995	0.3371912947
996	0.3371884021
997	0.3371827397
998	0.337181909
999	0.3371805465
